family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
rail_passenger,rail_passenger__regenerative_braking_upgrade,2025,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.05,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__regenerative_braking_upgrade,2030,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.14,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__regenerative_braking_upgrade,2035,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.25,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__regenerative_braking_upgrade,2040,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.35,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__regenerative_braking_upgrade,2045,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.42,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__regenerative_braking_upgrade,2050,Regenerative braking upgrade,Upgrade of electric rolling stock to capture braking energy and return it to the overhead line or on-board battery. Reduces net electricity consumption by 12%. Applies to conventional_mixed (electricity input) and fully_electrified states.,pure_efficiency_overlay,"[""rail_passenger__conventional_mixed"", ""rail_passenger__fully_electrified""]","[""electricity""]",[0.88],0.0,2024,AUD_2024,0.45,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",Sydney Trains regenerative braking programme; Melbourne Metro regeneration data; Network Rail UK regenerative braking economics; Japanese Shinkansen systems.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",High,Well-established technology; savings depend on receptivity of overhead system.,rail_regen_braking
rail_passenger,rail_passenger__timetable_loading_optimisation,2025,Timetable and loading optimisation,Optimise train timetables and passenger loading to reduce empty running and improve occupancy rates. Applies to conventional_mixed state only (both electricity and diesel). Reduces energy use per pkm by 7% through improved capacity utilisation.,operational_efficiency_overlay,"[""rail_passenger__conventional_mixed""]","[""electricity"", ""diesel""]","[0.93, 0.93]",0.0,2024,AUD_2024,0.1,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",NSW Department of Transport rail optimisation study; Australian rail occupancy data; BITRE transport efficiency analysis.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",Medium,Operational efficiency gains are real but partially included in existing service contracts.,rail_operational_efficiency
rail_passenger,rail_passenger__timetable_loading_optimisation,2030,Timetable and loading optimisation,Optimise train timetables and passenger loading to reduce empty running and improve occupancy rates. Applies to conventional_mixed state only (both electricity and diesel). Reduces energy use per pkm by 7% through improved capacity utilisation.,operational_efficiency_overlay,"[""rail_passenger__conventional_mixed""]","[""electricity"", ""diesel""]","[0.93, 0.93]",0.0,2024,AUD_2024,0.22,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",NSW Department of Transport rail optimisation study; Australian rail occupancy data; BITRE transport efficiency analysis.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",Medium,Operational efficiency gains are real but partially included in existing service contracts.,rail_operational_efficiency
rail_passenger,rail_passenger__timetable_loading_optimisation,2035,Timetable and loading optimisation,Optimise train timetables and passenger loading to reduce empty running and improve occupancy rates. Applies to conventional_mixed state only (both electricity and diesel). Reduces energy use per pkm by 7% through improved capacity utilisation.,operational_efficiency_overlay,"[""rail_passenger__conventional_mixed""]","[""electricity"", ""diesel""]","[0.93, 0.93]",0.0,2024,AUD_2024,0.35,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",NSW Department of Transport rail optimisation study; Australian rail occupancy data; BITRE transport efficiency analysis.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",Medium,Operational efficiency gains are real but partially included in existing service contracts.,rail_operational_efficiency
rail_passenger,rail_passenger__timetable_loading_optimisation,2040,Timetable and loading optimisation,Optimise train timetables and passenger loading to reduce empty running and improve occupancy rates. Applies to conventional_mixed state only (both electricity and diesel). Reduces energy use per pkm by 7% through improved capacity utilisation.,operational_efficiency_overlay,"[""rail_passenger__conventional_mixed""]","[""electricity"", ""diesel""]","[0.93, 0.93]",0.0,2024,AUD_2024,0.44,"National adoption bound reflecting rail fleet replacement cycles (~30-40 yr), infrastructure investment lead times, and state government network investment programmes.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",NSW Department of Transport rail optimisation study; Australian rail occupancy data; BITRE transport efficiency analysis.,"Energy coefficients from AES 2023-24 estimated rail passenger share (8.0 PJ) / BITRE 22,000 million_pkm = 364.0 GJ/million_pkm. National average split: 50% electric (182 GJ), 50% diesel (182 GJ). NGGI check (scope 1 diesel): 12.4 × 22,000 / 1e6 = 0.27 MtCO2e.",Medium,Operational efficiency gains are real but partially included in existing service contracts.,rail_operational_efficiency
