role_id,package_id,year,package_label,package_description,classification,applicable_method_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2025,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.08,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2030,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.2,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2035,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.35,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2040,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.45,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2045,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.55,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__lighting_retrofit,2050,Lighting retrofit,"LED and controls retrofit bundle for commercial lighting systems, kept separate from broader electrification and HVAC pathway changes.",pure_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity""]",[0.95],0.3,2024,AUD_2024,0.6,"Lighting retrofits are mature and relatively fast to deploy, but keep the role-level cap below full stock saturation because the aggregate commercial role spans many building types and legacy starting points.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]","Commercial lighting is one of the cleanest portable v1 efficiency packages because it is electricity-only, mature, and already supported by Australian programs and building guidance.",Apply a conservative electricity-only multiplier within the accepted research band so the package remains separable from the larger incumbent-to-electrified pathway-method jump.,Medium,Deep-electric remains excluded because it already represents the role frontier.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2025,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.12,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2030,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.25,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2035,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.4,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2040,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.5,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2045,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.55,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
serve_commercial_building_occupants,buildings__commercial__hvac_tuning_bms,2050,HVAC tuning and BMS optimisation,"Operational HVAC commissioning, scheduling, controls, and BMS optimisation on incumbent and partially electrified commercial building-service methods.",operational_efficiency_overlay,"[""buildings__commercial__incumbent_mixed_fuels"",""buildings__commercial__electrified_efficiency""]","[""electricity"",""natural_gas""]","[0.97,0.97]",0.12,2024,AUD_2024,0.6,"Operational controls can scale faster than capital retrofits, but persistence depends on ongoing management quality and building suitability. Keep the cap below universal uptake on the aggregate commercial role.","[""S019"",""S020"",""S034""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Commercial HVAC optimisation is a strong operational package candidate because it is separable from route change and can materially reduce electricity and residual heating energy without creating a new technology method.,Use a conservative operational multiplier on electricity and residual gas so the package stays materially smaller than the pathway-method gap and shares a non-stacking group with the lighting retrofit.,Medium,Do not apply to the deep-electric method. The shared non-stacking group prevents the model from stacking two broad commercial add-on packages on the same activity slice.,commercial_building_services_nonstacking
